npages,bitmap-allocate,bitmap-free,bsd-allocate,bsd-free,linux-allocate,linux-free
1,78.43,57.07,53.40,48.60,68.23,61.03
2,121.13,63.48,55.12,52.93,64.75,68.73
4,120.87,50.51,52.22,46.37,51.66,56.04
8,175.93,49.52,51.35,47.41,55.15,58.52
16,293.83,49.99,60.81,47.98,51.19,56.22
32,528.31,57.25,43.22,41.92,50.05,55.17
64,1014.95,48.30,42.25,45.42,48.56,57.42
128,1942.86,47.96,44.01,40.93,49.37,53.69
256,3808.85,48.57,42.59,41.46,49.25,53.76
512,7227.32,46.44,41.55,39.04,46.48,50.67
1024,14240.40,46.38,40.26,39.11,47.13,50.70
2048,28499.53,46.22,43.03,42.23,48.44,52.84
4096,56869.36,46.30,42.03,40.30,48.03,52.17
8192,112332.17,45.72,41.11,39.97,47.09,51.64
16384,229414.04,48.10,41.37,40.42,46.83,51.31
32768,462821.01,54.18,41.32,40.44,50.56,54.72
