npages,bitmap-allocate,bitmap-free,bsd-allocate,bsd-free,linux-allocate,linux-free
1,67.07,38.77,30.67,26.93,41.60,34.50
2,62.78,37.53,30.68,27.70,52.87,49.27
4,62.93,36.86,30.64,27.23,74.99,64.56
8,62.25,36.94,29.10,27.32,88.67,78.94
16,57.98,36.79,29.08,27.39,93.74,93.62
32,58.04,36.80,28.83,27.32,111.64,109.20
64,57.78,36.78,28.92,27.28,113.41,124.15
128,58.70,36.76,28.58,27.22,135.60,139.56
256,59.47,37.20,28.56,27.23,136.95,166.14
512,59.14,37.02,28.57,27.24,152.86,179.73
1024,59.26,36.77,28.30,27.00,162.46,196.57
2048,59.09,37.03,27.90,26.58,173.70,208.45
4096,56.36,35.73,33.28,31.82,250.35,227.22
8192,66.32,40.06,27.84,26.69,291.15,242.99
16384,60.20,36.96,32.15,30.66,321.55,268.57
32768,62.26,38.10,28.12,26.89,352.43,287.33
65536,59.37,36.74,29.26,27.91,419.98,302.08
131072,59.03,36.60,28.47,27.22,420.85,318.71
262144,59.34,36.98,28.73,27.38,437.42,336.39
524288,60.12,37.48,28.26,27.01,458.63,354.84
1048576,59.76,37.28,28.63,27.33,480.00,378.89
2097152,60.09,37.42,28.93,27.61,524.27,401.28
4194304,59.08,36.81,28.41,27.11,546.02,416.07
