npages,bitmap-allocate,bitmap-free,bsd-allocate,bsd-free,linux-allocate,linux-free
1,253.63,0.00,79.90,0.00,115.60,0.00
2,95.55,18.05,71.12,7.33,94.23,13.37
4,93.98,17.84,58.49,11.72,86.21,25.69
8,81.07,18.05,50.50,14.84,82.28,25.55
16,75.70,18.26,46.65,14.07,69.27,27.23
32,70.05,16.60,42.37,13.37,76.06,28.16
64,69.08,18.35,42.70,14.33,71.69,33.41
128,62.91,16.97,38.97,13.48,65.70,28.26
256,57.12,16.29,32.66,12.21,51.45,23.76
512,51.51,16.28,32.78,12.14,50.91,23.55
1024,51.29,16.55,32.25,12.01,55.21,24.87
2048,57.57,17.58,31.74,11.56,49.89,23.46
4096,50.13,16.02,31.65,11.96,50.15,23.33
8192,50.81,16.35,31.35,11.77,49.91,23.63
16384,51.58,16.41,32.17,11.91,50.25,23.51
32768,51.12,16.52,32.04,12.09,50.92,23.73
65536,50.48,16.39,32.13,12.02,50.52,23.57
131072,50.69,16.45,31.43,11.79,50.18,23.34
262144,50.58,16.67,31.65,11.83,50.79,23.58
524288,50.70,16.74,31.83,11.91,51.14,23.64
1048576,50.79,16.87,31.99,12.02,51.19,23.67
2097152,51.03,16.93,31.88,11.96,51.67,23.90
4194304,50.72,16.81,31.81,11.92,51.97,24.06
