npages,bitmap-allocate,bitmap-free,bsd-allocate,bsd-free,linux-allocate,linux-free
1,176.70,59.60,57.70,47.50,73.20,53.03
2,77.25,40.00,45.58,33.25,62.27,54.95
4,68.25,35.28,36.60,26.69,55.17,54.44
8,61.45,32.79,30.36,23.82,52.95,52.68
16,57.43,30.30,27.37,22.15,49.14,54.01
32,57.72,29.76,24.59,20.44,45.47,54.72
64,52.45,26.50,23.10,19.85,55.90,62.89
128,73.48,33.91,31.16,25.30,46.41,54.91
256,50.66,25.13,20.55,17.47,39.93,49.26
512,57.04,26.32,21.25,18.64,40.64,50.39
1024,50.05,24.42,20.56,18.16,43.02,52.90
2048,49.97,24.01,20.57,18.27,41.52,51.44
4096,50.06,24.21,20.66,19.00,41.38,51.44
8192,48.69,23.34,20.29,18.98,40.99,50.76
16384,48.87,23.46,19.85,19.04,42.04,51.87
32768,54.45,26.34,22.09,21.14,43.88,53.06
65536,49.73,23.74,20.09,20.70,43.34,53.60
131072,49.51,23.50,20.09,20.36,42.10,51.56
262144,50.27,23.94,19.90,20.47,42.64,52.14
524288,50.10,24.80,20.52,20.63,42.50,52.18
1048576,50.56,23.54,20.16,20.56,43.45,52.89
2097152,50.63,23.75,20.11,20.53,42.90,53.27
4194304,50.77,23.74,20.71,20.83,42.90,52.74
