npages,bitmap-allocate,bitmap-free,bsd-allocate,bsd-free,linux-allocate,linux-free
1,177.47,61.17,58.37,47.43,70.13,61.73
2,77.23,42.55,44.62,32.62,62.03,54.87
4,69.19,36.88,37.49,27.85,55.86,54.88
8,61.03,30.88,30.47,23.73,51.57,53.08
16,57.07,30.82,26.36,23.14,48.50,54.00
32,54.13,27.98,24.54,21.26,46.09,53.82
64,53.61,26.60,22.86,19.48,44.14,53.17
128,51.36,25.20,22.28,19.83,42.82,52.50
256,50.71,24.47,21.71,18.75,42.04,53.26
512,51.86,24.59,21.69,18.50,42.18,51.90
1024,50.45,23.87,20.84,19.24,41.79,51.77
2048,49.15,24.09,23.58,21.10,41.80,51.77
4096,50.25,24.45,20.47,18.94,41.76,52.55
8192,48.64,23.32,19.15,17.51,40.00,49.78
16384,47.86,22.55,19.33,18.01,39.90,49.27
32768,48.22,23.50,19.55,19.22,41.03,50.94
65536,48.41,23.04,19.64,19.60,41.04,50.88
131072,49.39,23.70,19.62,20.20,40.85,50.60
262144,48.67,23.07,19.45,20.01,40.41,50.18
524288,48.13,22.77,19.60,20.06,40.66,50.28
1048576,47.51,22.64,19.48,20.15,40.88,50.82
2097152,49.97,23.76,20.92,20.99,40.48,50.30
4194304,47.85,22.74,19.72,20.12,41.10,51.18
